Từ Liêm,1
Hà Đông,1
Thanh Xuân,1
Hoàng Mai,1
Hai Bà Trưng,1
Đống đa,1
cầu giấy,1
Tây Hồ,1
Hoàn kiếm,1
Ba Đình,1
Quận Bình Tân,2
Quận Thủ đức,2
Quận Bình Thạnh,2
Quận Gò Vấp,2
Quận Phú Nhuận,2
Quận Tân Phú,2
Quận Tân Bình,2
Quận 12,2
Quận 11,2
Quận 10,2
Quận 9,2
Quận 8,2
Quận 7,2
Quận 6,2
Quận 5,2
Quận 4,2
Quận 3,2
Quận 2,2
Quận 1,2
Quận Thanh Khê,3
Quận Cẩm Lệ,3
Quận Hải Châu,3
Quận Ngủ Hành Sơn,3
Quận Sơn Trà,3
Quận Liên Chiểu,3
Thành Phố Bắc Giang,4
Thành Phố Bắc Kan,5
Thành Phố Bắc Ninh,6
Thị Xã từ sơn,6
Thành Phố Cao Bằng,7
Thành Phố Diện Biên Phủ,8
Thị Xã Mường Lay,8
Thành Phố Hà Giang,9
Thành Phố Phủ Ký,10
Thành phố Hải Dương,11
Quận Đồ sơn,12
Quận Dương Kinh,12
Quận Kiến An,12
Quận hải An,12
Quận Lê Chân,12
Quận Ngô Quyền,12
Quận Hồng bàng,12
Thành Phố Hoà bình,13
Thành phố Hưng Yên,14
Nậm Nhùn,15
Thành Phố Lai Châu,15
Thành Phố Lạng Sơn,16
Thành Phố Lào Cai,17
Thành Phố Nam Định,18
Thành Phố Ninh Bình,19
Thành Phố Việt Trì,20
Thị Xã Phu Thọ,20
Thành Phố Uông Bí,21
Thành Phố Cẩm Phả,21
Thành Phố Móng Cái,21
Thành Phố Hạ Long,21
Thành Phố Sơn La,22
Thành Phố Thái bình,23
thành Phố Sông Công,24
Thành Phố Thái Nguyên,24
Thành Phố Tuyen Quang,25
Thành Phố Phuc Yên,26
Thành Phố Vĩnh yên,26
Thị Xã Nghĩa Lộ,27
Thành Phố Yên Bái,27
Thị Xã An Nhơn,28
Thị Xã Quy Nhơn,28
Thị Xã Buôn Hồ,29
Thành Phố Buôn Ma Thuột,29
Thị Xã Gia Nghĩa,30
Thị Xã An Khê,31
Thị Xã AYun Pa,31
Thành Phố Pleiku,31
Thành Phố Hà Tỉnh,32
Thị Xã Hồng Lĩnh,32
Thị Xã Ninh Hoà,33
Thành Phố Nha Trang,33
Thành Phố Cam Ranh,33
Thành Phố Tum,34
Thị Xã Hoàng Mai,35
Thị Xã Thái Hoà,35
Thị Xã Cửa lò,35
Thành Phố Vinh,35
Thị Xã Sông Cầu,36
Thành Phố Tuy Hoà,36
Thị Xã Ba Đồn,37
Thành Phố Đồng Hới,37
Thành Phố Tam Kỳ,38
Thành phố Hội An,38
Thành Phố Quảng Ngãi,40
Thành Phố Đông hà,41
Thị Xã Quảng Trị,41
Thị Xã Sầm Sơn,42
Thị Xã Bỉm Sơn,42
Thành Phố Thanh Hoá,42
Thị Xã Hương Thuỷ,43
Thành Phố Huế,43
Thị Xã Hương Trà,43
Thị Xã Tân Châu,44
Thành Phố Châu Đốc,44
Thành Phố Long Xuyên,44
Thành Phố Bà Rịa,45
Thành Phố Vũng Tàu,45
Thành Phố Bạc Liêu,46
Thị Xã Giá Rai,46
Thành Phố Bến Tre,47
Bắc Tân Uyên,48
Thị Xã Bến Cát,48
Thủ Dầu Một,48
Thị Xã la Gi,50
Thành Phố Phan Thiết,50
Thành Phố Cà mau,51
Quận Thốt Nốt,52
Quận Ô Môn,52
Quận Ninh Kiều,52
Quận Cái Răng,52
Quận Bình Thuỷ,52
Thành Phố Biên Hoà,53
Thành Phố Sa Đéc,54
Thị Xã Hồng Ngự,54
Thành Phố Cao Lãnh,54
Thị Xã Long Mỹ,55
Thị Xã ngã bảy,55
Thành Phố Vị Thanh,55
Thành Phố Rạch Giá,56
Thị Xã hà Tiên,56
Thành Phố Đà lạt,57
Thành Phố Bảo Lộc,57
Thị Xã kiến Tường,58
Thành Phố Tân An,58
Thành Phố Phan Rang - Thap Chàm,59
Thành phố Sóc Trăng,60
Thị Xã Vĩnh Châu,60
Thành Phố Tây Ninh,61
Thị Xã Cai Lậy,62
Thị Xã Gò Công,62
Thành Phố Mỹ Tho,62
Thành Phố Trà Vinh,63
Thị Xã Bình Minh,64
Thành phố Vĩnh Long,64
Thị Xã Điện Bàn,38
